username,map_label,project_code,sampleMedia ,combinedID,sampleID,internalSampleID,visitDate,dateAnalTPTN,TP,TN,dateAnalM3Ex,dateAnalM3ICP,m3.P,m3.Fe,m3.Al,SPSC,dateAnalWE,wEX.P,wEX.NH3,wEX.NOx,dateAnalpH,pH,dateAnalEC,EC,samp_type,locName,Location Sortable,specific_location,samp_type,notes,samp_notes,y,x
midden_BGSU,20-21,OAKWE,soil,OAKWE_20230518_S03315,S03315,S03315,20230518,20230801,"1,008","2,123",20230602,20230619,46.2,213.9,675.6,43,20230713,6.829,0.4,6.716,20230605,7.172,20230620,32.7,sample,Wetland Pool 1,Wetland Pool 01,9 m south of pool 1 typically dry area,sample,,,41.02385333,-83.69666833
midden_BGSU,20-21,OAKWE,soil,OAKWE_20210730_D00032,D00032,D00032,20210730,20210806,587,1319,20210809,20210825,24,637,778,101,,,,,,,,,sample ,Wetland Pool 1,Wetland Pool 01,"West end, 3 ft from edge of west side ",sample ,"There’s an apparent soil horizon. There’s a shallow layer of dark colored sediment above a brown colored layer underneath. The top 1 cm is almost black, probably from organic matter that decayed. ",,41.024167,-83.696667
midden_BGSU,20-21,OAKWE,soil,OAKWE_20210730_S00062,S00062,S00062,20210730,20210806,816,1814,20210809,20210825,34.2,295,632,55,,,,,,,,,sample ,Wetland Pool 1,Wetland Pool 01,10 ft from west edge of pool 1 ,sample ,This was the first soil sample taken 10 ft from edge of pool 1 on the west side. Seemed to be relatively moist. Lots of vegetation in this area. ,,41.024167,-83.696667
midden_BGSU,20-21,OAKWE,soil,OAKWE_20230518_S03314,S03314,S03314,20230518,20230801,954,"1,660",20230602,20230619,38.9,459.1,722.5,69,20230713,1.727,0.4,9.768,20230605,6.896,20230620,58.8,sample,Wetland Pool 1,Wetland Pool 01,South edge near sonde ,sample,,,41.02401667,-83.696545
midden_BGSU,20-21,OAKWE,soil,OAKWE_20220615_S00246,S00246,S00246,20220615,20220628,1282,2125,20221006,20220819,32.5,187.1,54.08,55,20220705,0.771,0.4,6.293,20220720,6.52,20220629,24.6,replicate,Wetland Pool 1,Wetland Pool 01,About 4 m south of south edge,replicate,,,41.02383167,-83.696345
midden_BGSU,20-21,OAKWE,soil,OAKWE_20220615_S00247,S00247,S00247,20220615,20220628,871,1517,20221006,20220819,34.6,335.3,63.14,81,20220705,0.2,0.4,10.235,20220720,6.69,20220629,39.4,sample,Wetland Pool 1,Wetland Pool 01,Near south edge,sample,,,41.02390833,-83.69633167
midden_BGSU,20-21,OAKWE,soil,OAKWE_20210527_D00016,D00016,A-20210527-21-02D,20210527,20210615,994,1655,20210728,20210813,52.6,292,735,47.90727342,,,,,,,,,sample,Wetland Pool 1,Wetland Pool 01,Pool ,sample,"Soil on the south side of P-1 was more clay like in appearance and was easier to walk on. The sample was taken slightly west of inlet to Aurand run, which was not flowing into P-1 at the moment.",,41.0239,-83.6963
midden_BGSU,20-21,OAKWE,soil,OAKWE_20210527_S00040,S00040,A-20210527-21-02S,20210527,20210615,995,1895,20210728,20210813,49.6,242,669,40.55286679,,,,,,,,,sample,Wetland Pool 1,Wetland Pool 01,Soil near pool ,sample,,,41.0239,-83.6963
midden_BGSU,20-21,OAKWE,soil,OAKWE_20220615_S00245,S00245,S00245,20220615,20220628,1036,1900,20221006,20220819,44.4,236,63.61,64,20220705,0.793,0.4,8.851,20220720,6.8,20220629,36.2,sample,Wetland Pool 1,Wetland Pool 01,4 m south of south edge,sample,,,41.02384,-83.69629333
midden_BGSU,20-21,OAKWE,soil,OAKWE_20221025_S03062,S03062,S03062,20221025,20221214,536,796,20221212,20230105,27.7,1269.4,814,136,20221222,0.2,7.28,3.196,20221214,7.2824,20221214,176.7,sample,Wetland Pool 1,Wetland Pool 01,"Central, near sonde",sample,,,41.02416167,-83.69629167
midden_BGSU,20-21,OAKWE,soil,OAKWE_20220615_S00248,S00248,S00248,20220615,20220628,1054,1938,20221006,20220819,24.1,1024.7,60.99,128,20220705,0.188,1.59,11.658,20220720,6.79,20220629,51.2,replicate,Wetland Pool 1,Wetland Pool 01,Near south edge,replicate,,,41.02393833,-83.69628167
midden_BGSU,20-21,OAKWE,soil,OAKWE_20221025_S03063,S03063,S03063,20221025,20221214,236,430,20221212,20230105,22.4,651.3,140.6,30,20221222,0.324,1.387,1,20221214,7.7792,20221214,367,sample,Aurand Run connection to P1,Aurand Run connection to P1,,sample,,,41.02347333,-83.69617667
midden_BGSU,20-21,OAKWE,soil,OAKWE_20220628_S00367,S00367,S00367,20220628,20220928,508,"2,123",20220922,20221002,19.4,1013.6,442,87,20220726,0.2,1.964,1,20221004,7.4296,20220712,959,sample,Aurand Run connection to P1,Aurand Run connection to P1,,sample,,Thin sediment layer above bedrock,41.02347224,-83.69616523
midden_BGSU,20-21,OAKWE,soil,OAKWE_20230518_S03316,S03316,S03316,20230518,20230801,514,898,20230602,20230619,29.9,1058.8,68.3,37,20230713,0.843,0.4,19.445,20230605,7.356,20230620,46.2,sample,Aurand Run connection to P1,Aurand Run connection to P1,,sample,,,41.02342167,-83.69606333
midden_BGSU,20-21,OAKWE,soil,OAKWE_20230518_S03317,S03317,S03317,20230518,20230801,811,"3,456",20230602,20230619,19.3,158.9,448.3,41,20230713,5.688,2.998,9.239,20230605,7.172,20230620,59.6,sample,Aurand Run connection to P1,Aurand Run connection to P1,Hugh point eastof connection ,sample,,,41.023525,-83.69599167
midden_BGSU,20-21,OAKWE,soil,OAKWE_20210730_D00033,D00033,D00033,20210730,20210806,474,1126,20210809,20210825,14.3,1425,262,95,,,,,,,,,sample ,Aurand Run connection to P1,Aurand Run connection to P1,Midde of stream ,sample ,Aurand run appeared to be flowing slowly and calmly. Was not backing up into pool 1. ,,41.023611,-83.695834
midden_BGSU,20-21,OAKWE,soil,OAKWE_20210730_D00034,D00034,D00034,20210730,20210806,1840,1503,20210809,20210825,8.2,172,174,21,,,,,,,,,sample,Wetland Pool 1,Wetland Pool 01,"We are on the east side, 290 degrees west from the center ",sample,Vegetation was grown into the pool so it is a very undefined edge. The samples were taken directly inside the end of the vegetation. ,,41.024167,-83.695833
midden_BGSU,20-21,OAKWE,soil,OAKWE_20220628_S00368,S00368,S00368,20220628,20220928,615,"1,964",20220922,20221002,42.9,604.6,687.4,70,20220726,0.163,0.4,12.033,20221004,7.0064,20220712,26,sample,Wetland Pool 1,Wetland Pool 01,NE corner,sample,,,41.02414994,-83.69582391
midden_BGSU,20-21,OAKWE,soil,OAKWE_20221025_S03064,S03064,S03064,20221025,20221214,783,"1,186",20221212,20230105,27.9,210.7,571,49,20221222,1.003,1.037,1.33,20221214,6.7672,20221214,16.89,sample,Wetland Pool 1,Wetland Pool 01,~100 m east from center of pool 1,sample,,,41.02396833,-83.69535833
midden_BGSU,20-21,OAKWE,soil,OAKWE_20230518_S03319,S03319,S03319,20230518,20230801,"1,233","2,227",20230602,20230619,37.5,309.2,830.7,75,20230713,1.864,0.773,5.642,20230605,6.896,20230620,91.2,sample,Wetland Pool 3,Wetland Pool 03,5 m south near woods,sample,,,41.02314167,-83.69529
midden_BGSU,20-21,OAKWE,soil,OAKWE_20230518_S03318,S03318,S03318,20230518,20230801,713,"1,614",20230602,20230619,31.8,414.9,824.8,86,20230713,1.431,1.55,5.926,20230605,6.988,20230620,52.2,sample,Wetland Pool 3,Wetland Pool 03,,sample,,,41.02329833,-83.69510833
midden_BGSU,20-21,OAKWE,soil,OAKWE_20210527_D00017,D00017,A-20210527-21-03D,20210527,20210615,664,1052,20210728,20210813,14.9,224,640,71.09520802,,,,,,,,,sample,Wetland Pool 3,Wetland Pool 03,Pool ,sample,"More vegitation found in this pool than other pools, detrius found on surface, pool was full of water",,41.0234,-83.6951
midden_BGSU,20-21,OAKWE,soil,OAKWE_20210527_D00018,D00018,A-20210527-21-04D,20210527,20210615,924,1561,20210728,20210813,31.1,278,710,65.874992,,,,,,,,,sample,Wetland Pool 3,Wetland Pool 03,Pool ,sample,"More vegitation found in this pool than other pools, detrius found on surface, pool was full of water",,41.0234,-83.6951
midden_BGSU,20-21,OAKWE,soil,OAKWE_20210527_S00041,S00041,A-20210527-21-03S,20210527,20210615,984,2096,20210728,20210813,25,163,344,23.51106014,,,,,,,,,sample,Wetland Pool 3,Wetland Pool 03,Soil near pool ,sample,"Lighter, more fluffy soil than P-1",,41.0234,-83.6951
midden_BGSU,20-21,OAKWE,soil,OAKWE_20210527_S00042,S00042,A-20210527-21-04S,20210527,20210615,1009,1998,20210728,20210813,44.8,230,657,43.40270636,,,,,,,,,sample,Wetland Pool 3,Wetland Pool 03,Soil near pool ,sample,"Lighter, more fluffy soil than P-1",,41.0234,-83.6951
midden_BGSU,20-21,OAKWE,soil,OAKWE_20220628_S00369,S00369,S00369,20220628,20220928,615,"2,112",20220922,20221002,35,326,672,60,20220726,0.156,3.836,8.389,20221004,6.6476,20220712,46.3,sample,Wetland Pool 3,Wetland Pool 03,NW corner,sample,,Not under water now but has been recently,41.02352639,-83.69507403
midden_BGSU,20-21,OAKWE,soil,OAKWE_20210730_D00035,D00035,D00035,20210730,20210806,622,1214,20210809,20210825,8.1,119,267,29,,,,,,,,,sample ,Wetland Pool 2,Wetland Pool 02,3 ft from where water starts and 75 degrees East from what appears to be the center ,sample ,Southwest side ,,41.024167,-83.695
midden_BGSU,20-21,OAKWE,soil,OAKWE_20210730_S00066,S00066,S00066,20210730,20210806,602,1289,20210809,20210825,6.2,81,250,27,,,,,,,,,sample ,Wetland Pool 2,Wetland Pool 02,3 ft from where water starts and 75 degrees East from what appears to be the center ,sample ,"The boundary of the pool is not well defined, the pool has vegetation growing in all areas that are shallow enough, soil sample was taken 3 ft from where water stopped on the southwest corner ",,41.024167,-83.695
midden_BGSU,20-21,OAKWE,soil,OAKWE_20220628_S00370,S00370,S00370,20220628,20220928,520,"2,101",20220922,20221002,27,428.5,657.1,72,20220726,0.2,0.4,2.478,20221004,6.574,20220712,23.8,sample,Wetland Pool 3,Wetland Pool 03,About 4 m north of pool,sample,,,41.02365154,-83.69496438
midden_BGSU,20-21,OAKWE,soil,OAKWE_20221025_S03087,S03087,S03087,20221025,20221215,793,"1,492",20221212,20230105,20.5,278.2,633.3,68,20221222,0.446,0.4,2.88,20221214,6.9052,20221214,20.49,sample,Wetland Pool 3,Wetland Pool 03,Interior,sample,,,41.023415,-83.69494
midden_BGSU,20-21,OAKWE,soil,OAKWE_20210730_S00065,S00065,S00065,20210730,20210806,669,1518,20210809,20210825,34.5,194,591,44,,,,,,,,,sample ,Wetland Pool 3,Wetland Pool 03,,sample ,"There was no water in this pool but we could tell where it was based on the change in vegetation, it looked like there had been water there at some point ",,41.02325,-83.694806
midden_BGSU,20-21,OAKWE,soil,OAKWE_20220628_S00371,S00371,S00371,20220628,20220928,791,"1,918",20220922,20221002,37.8,557.4,577.3,59,20220726,0.146,3.199,6.642,20221004,6.022,20220712,21.74,sample,Wetland Pool 2,Wetland Pool 02,About center,sample,,,41.02396985,-83.6948039
midden_BGSU,20-21,OAKWE,soil,OAKWE_20210527_D00019,D00019,A-20210527-21-05D,20210527,20210615,1003,2250,20210728,20210813,59.3,382,847,59.14118073,,,,,,,,,sample,Wetland Pool 2,Wetland Pool 02,Pool ,sample,Pool was full with water,,41.0239,-83.6946
midden_BGSU,20-21,OAKWE,soil,OAKWE_20210527_D00020,D00020,A-20210527-21-06D,20210527,20210615,762,1518,20210728,20210813,35.1,358,883,86.21345592,,,,,,,,,sample,Wetland Pool 2,Wetland Pool 02,Pool ,sample,Pool was full with water,,41.0239,-83.6946
midden_BGSU,20-21,OAKWE,soil,OAKWE_20210527_S00043,S00043,A-20210527-21-05S,20210527,20210615,1068,1963,20210728,20210813,37.9,244,574,41.43447223,,,,,,,,,sample,Wetland Pool 2,Wetland Pool 02,Soil near pool ,sample,Soil was more dry around the oustide of the pool,,41.0239,-83.6946
midden_BGSU,20-21,OAKWE,soil,OAKWE_20210527_S00044,S00044,A-20210527-21-06S,20210527,20210615,562,1116,20210728,20210813,10.7,255,850,100.9850532,,,,,,,,,sample,Wetland Pool 2,Wetland Pool 02,Soil near pool ,sample,Soil was more dry around the oustide of the pool,,41.0239,-83.6946
midden_BGSU,20-21,OAKWE,soil,OAKWE_20221025_S03065,S03065,S03065,20221025,20221214,898,"1,806",20221212,20230105,33.7,540.9,660.9,72,20221222,0.458,0.646,2.407,20221214,6.0864,20221214,22.5,sample,Wetland Pool 2,Wetland Pool 02,East edge,sample,,,41.02401667,-83.69453667
midden_BGSU,20-21,OAKWE,soil,OAKWE_20230518_S03375,S03375,S03375,20230518,20230801,660,832,20230615,20230619,24.3,441.8,940.7,108,20230714,2.155,1.232,8.31,20230615,6.252,20230615,27.2,sample,Wetland Pool 2,Wetland Pool 02,East edge,sample,,,41.02406167,-83.69428833
midden_BGSU,20-21,OAKWE,soil,OAKWE_20221025_S03086,S03086,S03086,20221025,20221215,"1,244","2,252",20221212,20230105,32.2,1399,785.8,136,20221222,0.2,17.302,2.69,20221214,6.2796,20221214,50.9,sample,Wetland Pool 4,Wetland Pool 04,West edge,sample,,,41.023525,-83.69417667
midden_BGSU,20-21,OAKWE,soil,OAKWE_20230518_S03321,S03321,S03321,20230518,20230801,"1,757","2,881",20230602,20230619,56.6,504.8,1636.2,159,20230713,3.92,0.4,2.367,20230605,5.792,20230620,13.6,sample,Wetland Pool 4,Wetland Pool 04,Southwest edge 3 m from pool,sample,,,41.02332667,-83.69417333
midden_BGSU,20-21,OAKWE,soil,OAKWE_20230518_S03320,S03320,S03320,20230518,20230801,832,"1,128",20230602,20230619,39.3,703.8,836.9,96,20230713,1.263,1.382,1,20230605,5.7,20230620,25.7,sample,Wetland Pool 4,Wetland Pool 04,Southwest edge,sample,,,41.02332833,-83.69412333
midden_BGSU,20-21,OAKWE,soil,OAKWE_20230518_S03372,S03372,S03372,20230518,20230801,977,"1,530",20230615,20230619,51.3,352.2,818.2,62,20230714,3.341,0.4,6.755,20230615,5.976,20230615,26,sample,Wetland Pool 6,Wetland Pool 06,Between 6 and 2,sample,,,41.02416833,-83.69403
midden_BGSU,20-21,OAKWE,soil,OAKWE_20220628_S00372,S00372,S00372,20220628,20220928,988,"3,104",20220922,20221002,54.6,210.8,661.1,33,20220726,0.872,0.563,3.325,20221004,6.3532,20220712,25.7,sample,Wetland Pool 4,Wetland Pool 04,"Between pools 2, 4,& 6",sample,,,41.02387607,-83.6939129
midden_BGSU,20-21,OAKWE,soil,OAKWE_20220628_S00374,S00374,S00374,20220628,20220928,634,"2,287",20220922,20221002,45.4,868.3,671.6,80,20220726,0.2,4.108,7.425,20221004,6.0864,20220712,35,sample,Wetland Pool 4,Wetland Pool 04,,sample,,,41.02366334,-83.69390609
midden_BGSU,20-21,OAKWE,soil,OAKWE_20221025_S03084,S03084,S03084,20221025,20221215,985,"1,772",20221212,20230105,55.6,1135.1,557,71,20221222,0.423,14.259,2.75,20221214,6.3808,20221214,25.4,sample,Wetland Pool 4,Wetland Pool 04,East edge,sample,,,41.02358333,-83.69357167
midden_BGSU,20-21,OAKWE,soil,OAKWE_20221025_S03085,S03085,S03085,20221025,20221215,922,"1,709",20221212,20230105,45.3,751.6,463.7,50,20221222,1.845,0.4,37.299,20221214,5.93,20221214,107,sample,Wetland Pool 5,Wetland Pool 05,Interior ,sample,,,41.02318667,-83.6934
midden_BGSU,20-21,OAKWE,soil,OAKWE_20220628_S00375,S00375,S00375,20220628,20220928,599,"2,843",20220922,20221002,37.2,984.9,762.8,105,20220726,0.2,10.888,8.419,20221004,5.8656,20220712,75.1,sample,Wetland Pool 6,Wetland Pool 06,South side,sample,,,41.02404166,-83.69337697
midden_BGSU,20-21,OAKWE,soil,OAKWE_20221025_S03066,S03066,S03066,20221025,20221214,667,"1,568",20221212,20230105,22.1,777.5,578.5,87,20221222,0.2,3.661,3.796,20221214,5.9668,20221214,80.3,sample,Wetland Pool 6,Wetland Pool 06,Center,sample,,,41.02406,-83.69337167
midden_BGSU,20-21,OAKWE,soil,OAKWE_20220628_S00392,S00392,S00392,20220628,20220930,841,"1,239",20220922,20221002,61.7,1371,734.4,99,20220726,0.273,7.273,2.103,20221004,6.022,20220712,33.9,sample,Wetland Pool 5,Wetland Pool 05,Near center,sample,,,41.02309199,-83.69322782
midden_BGSU,20-21,OAKWE,soil,OAKWE_20230518_S03322,S03322,S03322,20230518,20230801,659,"1,084",20230602,20230619,23.2,1101.9,648.1,112,20230713,0.753,8.55,8.444,20230605,5.332,20230620,34.8,sample,Wetland Pool 5,Wetland Pool 05,East edge,sample,,,41.02311667,-83.69319333
midden_BGSU,20-21,OAKWE,soil,OAKWE_20230518_S03323,S03323,S03323,20230518,20230801,"1,001","2,084",20230602,20230619,61.6,335.7,787.7,47,20230713,4.668,0.4,4.442,20230605,5.792,20230620,19,sample,Wetland Pool 5,Wetland Pool 05,"Between pools 5, 9, 4, 8",sample,,,41.02320667,-83.69312667
midden_BGSU,20-21,OAKWE,soil,OAKWE_20230518_S03373,S03373,S03373,20230518,20230801,703,"1,096",20230615,20230619,20.6,559.2,919.3,116,20230714,1.876,0.4,10.185,20230615,6.252,20230615,38.3,sample,Wetland Pool 6,Wetland Pool 06,East edge,sample,,,41.024015,-83.693035
midden_BGSU,20-21,OAKWE,soil,OAKWE_20230518_S03326,S03326,S03326,20230518,20230801,"1,061","2,147",20230602,20230619,62.3,654.3,987.4,87,20230713,2.108,0.4,4.523,20230605,5.7,20230620,34.1,sample,Wetland Pool 8,Wetland Pool 08,South edge,sample,,,41.02354167,-83.6928
midden_BGSU,20-21,OAKWE,soil,OAKWE_20221025_S03083,S03083,S03083,20221025,20221215,"1,008","1,957",20221212,20230105,29.9,631.3,827.2,100,20221222,0.2,26.023,19.167,20221214,5.976,20221214,71.3,sample,Wetland Pool 8,Wetland Pool 08,Center ,sample,,,41.02360167,-83.692795
midden_BGSU,20-21,OAKWE,soil,OAKWE_20221025_S03067,S03067,S03067,20221025,20221214,571,"1,770",20221212,20230105,28.6,518.6,625,72,20221222,0.337,1.486,5.28,20221214,6.022,20221214,94.4,sample,Wetland Pool 7,Wetland Pool 07,Interior,sample,,,41.02399,-83.69277333
midden_BGSU,20-21,OAKWE,soil,OAKWE_20220628_S00376,S00376,S00376,20220628,20220928,535,"2,359",20220922,20221002,34,584.2,971.9,110,20220726,0.2,1.406,4.188,20221004,5.9392,20220712,26.2,sample,Wetland Pool 7,Wetland Pool 07,Near center,sample,,,41.023995,-83.69273933
midden_BGSU,20-21,OAKWE,soil,OAKWE_20220628_S00377,S00377,S00377,20220628,20220928,857,"3,117",20220922,20221002,25.4,883.5,995.2,138,20220726,0.2,8.355,1.851,20221004,5.8012,20220712,190.7,sample,Wetland Pool 8,Wetland Pool 08,NW corner,sample,,,41.02373863,-83.69273665
midden_BGSU,20-21,OAKWE,soil,OAKWE_20230518_S03324,S03324,S03324,20230518,20230801,609,997,20230602,20230619,25.7,423.4,746.8,83,20230713,0.948,0.4,1.899,20230605,6.068,20230620,20.02,sample,Wetland Pool 9,Wetland Pool 09,West edge,sample,,,41.023195,-83.69273333
midden_BGSU,20-21,OAKWE,soil,OAKWE_20230518_S03371,S03371,S03371,20230518,20230801,896,"1,420",20230615,20230619,14.5,244,749.2,85,20230714,2,0.879,3.68,20230615,6.344,20230615,33.4,sample,Wetland Pool 7,Wetland Pool 07,East edge ,sample,,,41.02402833,-83.69265333
midden_BGSU,20-21,OAKWE,soil,OAKWE_20221025_S03082,S03082,S03082,20221025,20221215,556,636,20221212,20230105,6.9,211.3,188.4,26,20221222,0.398,3.732,2.541,20221214,7.2824,20221214,61.4,sample,Wetland Pool 9,Wetland Pool 09,West edge,sample,,,41.02341333,-83.69259
midden_BGSU,20-21,OAKWE,soil,OAKWE_20220628_S00391,S00391,S00391,20220628,20220930,66,168,20220922,20221002,33.6,922.9,892.9,120,20220726,0.2,12.049,1,20221004,5.9576,20220712,45.2,sample,Wetland Pool 9,Wetland Pool 09,NE side,sample,,,41.02320226,-83.69236831
midden_BGSU,20-21,OAKWE,soil,OAKWE_20221025_S03080,S03080,S03080,20221025,20221215,963,"1,810",20221212,20230105,57,1221.9,480.3,66,20221222,0.314,8.092,2.281,20221214,6.1784,20221214,26.7,sample,Wetland Pool 9,Wetland Pool 09,Center,sample,,,41.02317167,-83.692335
midden_BGSU,20-21,OAKWE,soil,OAKWE_20230518_S03325,S03325,S03325,20230518,20230801,851,"1,953",20230602,20230619,34.1,280.7,907.1,86,20230713,1.668,0.4,1.912,20230605,5.792,20230620,13.31,sample,Wetland Pool 11,Wetland Pool 11,"Between 7, 8, 11, 12",sample,,,41.02366667,-83.69230667
midden_BGSU,20-21,OAKWE,soil,OAKWE_20221025_S03068,S03068,S03068,20221025,20221214,860,"1,648",20221212,20230105,20.1,619.2,635.1,87,20221222,0.169,0.644,14.64,20221214,6.022,20221214,120.2,sample,Wetland Pool 12,Wetland Pool 12,Interior,sample,,,41.02397167,-83.69208833
midden_BGSU,20-21,OAKWE,soil,OAKWE_20220628_S00378,S00378,S00378,20220628,20220928,789,"2,902",20220922,20221002,38.8,865.8,750.7,95,20220726,0.2,5.224,2.824,20221004,6.0496,20220712,43.3,sample,Wetland Pool 12,Wetland Pool 12,Near center,sample,,,41.0239104,-83.69204702
midden_BGSU,20-21,OAKWE,soil,OAKWE_20220628_S00379,S00379,S00379,20220628,20220928,656,"2,682",20220922,20221002,31.1,860.4,788.3,107,20220726,0.2,2.723,2.837,20221004,5.9576,20220712,12.15,sample,Wetland Pool 11,Wetland Pool 11,Near center,sample,,Dense cattails throughout pool,41.02360632,-83.69197636
midden_BGSU,20-21,OAKWE,soil,OAKWE_20220628_S00380,S00380,S00380,20220628,20220930,79,110,20220922,20221002,29.1,1314.6,659.6,119,20220726,0.2,2.047,1,20221004,5.6816,20220712,22.2,sample,Wetland Pool 15,Wetland Pool 15,Near center,sample,,Dense cattails throughout,41.02362734,-83.69197251
midden_BGSU,20-21,OAKWE,soil,OAKWE_20221025_S03079,S03079,S03079,20221025,20221215,720,"1,535",20221212,20230105,25,548,708.9,87,20221222,0.808,0.4,3.512,20221214,6.252,20221214,20.03,sample,Wetland Pool 11,Wetland Pool 11,Interior,sample,,,41.02341167,-83.69181333
midden_BGSU,20-21,OAKWE,soil,OAKWE_20230518_S03367,S03367,S03367,20230518,20230801,817,"1,689",20230615,20230619,22.5,422.2,927.7,107,20230714,1.478,0.4,6.084,20230615,6.252,20230615,31.3,sample,Wetland Pool 12,Wetland Pool 12,North east edge,sample,,,41.02414667,-83.69180167
midden_BGSU,20-21,OAKWE,soil,OAKWE_20221025_S03081,S03081,S03081,20221025,20221215,830,"1,952",20221212,20230105,34.5,453.7,617.5,62,20221222,1.058,1.661,5.494,20221214,6.5556,20221214,14.24,sample,Wetland Pool 10,Wetland Pool 10,Center,sample,,,41.02299167,-83.69175333
midden_BGSU,20-21,OAKWE,soil,OAKWE_20220628_S00389,S00389,S00389,20220628,20220930,998,"1,803",20220922,20221002,58,576,897.6,77,20220726,0.195,0.578,7.522,20221004,5.838,20220712,18.3,sample,Wetland Pool 10,Wetland Pool 10,Near center,sample,,No standing water but very moist soil,41.02300184,-83.69164126
midden_BGSU,20-21,OAKWE,soil,OAKWE_20230518_S03327,S03327,S03327,20230518,20230801,"1,222","2,458",20230602,20230619,37.7,499.9,795.9,81,20230713,3.513,0.588,10.12,20230605,5.516,20230620,39.7,sample,Wetland Pool 10,Wetland Pool 10,Between 10 and 15,sample,,,41.023145,-83.69163
midden_BGSU,20-21,OAKWE,soil,OAKWE_20230518_S03330,S03330,S03330,20230518,20230801,968,"1,819",20230602,20230619,70.1,1114.3,973.7,103,20230713,3.352,4.181,8.703,20230605,4.964,20230620,33.4,sample,Wetland Pool 10,Wetland Pool 10,North east edge,sample,,,41.02316333,-83.69160667
